time,seconds_elapsed,z,y,x,sensor,activity,file_source,person
1761305281191691300,0.143691162109375,0.0,0.0012217304902151,-0.0022907445672899,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281208337700,0.160337646484375,0.0012217304902151,-0.0006108652451075,0.0,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281225160700,0.17716064453125,0.0018325957935303,0.0,-0.0012217304902151,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281241982200,0.193982177734375,0.00167987938039,0.0,-0.0007635815418325,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281258806000,0.210805908203125,0.0003054326225537,-0.0007635815418325,0.0009162978967651,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281275629800,0.2276298828125,0.0001527163112768,0.0,-0.0009162978967651,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281292460800,0.244460693359375,-0.0001527163112768,0.0,0.0007635815418325,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281309276200,0.261276123046875,0.0001527163112768,0.0,-0.0001527163112768,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281326082300,0.278082275390625,0.0001527163112768,-0.0001527163112768,-0.0001527163112768,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281342922800,0.2949228515625,0.0001527163112768,-0.0006108652451075,-0.0009162978967651,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281359742500,0.311742431640625,0.0010690141934901,-0.0007635815418325,0.0001527163112768,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281376572200,0.328572265625,0.0001527163112768,0.0007635815418325,-0.0009162978967651,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281393391400,0.345391357421875,0.0001527163112768,0.0004581489483825,-0.0001527163112768,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281410204200,0.3622041015625,0.0004581489483825,-0.0010690141934901,-0.0001527163112768,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281427024600,0.379024658203125,0.0012217304902151,-0.0001527163112768,-0.0001527163112768,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281443848200,0.39584814453125,0.0004581489483825,-0.0003054326225537,-0.0006108652451075,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281460671200,0.412671142578125,-0.0006108652451075,0.0007635815418325,-0.0009162978967651,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281477494500,0.42949462890625,0.0,-0.0004581489483825,-0.0003054326225537,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281494311700,0.446311767578125,0.0,0.0,-0.0007635815418325,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281511155200,0.4631552734375,0.0001527163112768,0.0,-0.0006108652451075,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281527984000,0.479984130859375,0.0001527163112768,-0.0007635815418325,0.0006108652451075,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281544789500,0.49678955078125,0.0009162978967651,0.0,-0.0001527163112768,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281561624000,0.5136240234375,0.0009162978967651,0.0,0.0003054326225537,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281578452200,0.5304521484375,0.0004581489483825,-0.0003054326225537,-0.0010690141934901,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281595260700,0.5472607421875,0.0007635815418325,0.0009162978967651,-0.00167987938039,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281612090000,0.564090087890625,0.0004581489483825,0.0007635815418325,-0.0007635815418325,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281628920800,0.5809208984375,0.0022907445672899,-0.0001527163112768,-0.00137444678694,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281645741000,0.597740966796875,0.0027488935738801,0.0003054326225537,-0.0010690141934901,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281662563600,0.6145634765625,0.0035124751739203,0.0004581489483825,-0.0009162978967651,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281679383600,0.631383544921875,0.0036651915870606,0.0009162978967651,-0.0010690141934901,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281696196400,0.6481962890625,0.00335975876078,0.0009162978967651,-0.0009162978967651,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281713020000,0.66502001953125,0.001527163083665,-0.0003054326225537,-0.0004581489483825,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281729842400,0.681842529296875,-0.0042760567739605,0.0,0.0004581489483825,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281746666200,0.698666259765625,-0.007177666760981,-0.0003054326225537,0.00137444678694,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281763489300,0.7154892578125,-0.0073303831741213,-0.0007635815418325,0.00167987938039,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281780316200,0.732316162109375,-0.0047342055477201,-0.0010690141934901,0.0012217304902151,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281797155000,0.749155029296875,0.0004581489483825,0.0003054326225537,0.00137444678694,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281813967000,0.765967041015625,0.00534507073462,0.0001527163112768,-0.0006108652451075,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281830782000,0.782781982421875,0.007177666760981,0.0004581489483825,-0.0010690141934901,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281847628500,0.799628662109375,0.0065668015740811,0.00137444678694,-0.00137444678694,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281864450300,0.8164501953125,0.0030543261673301,0.0004581489483825,-0.0010690141934901,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281881265700,0.833265625,-0.00167987938039,0.0004581489483825,-0.0009162978967651,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281898071300,0.8500712890625,-0.00534507073462,-0.0010690141934901,0.0010690141934901,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281914896400,0.866896484375,-0.0067195175215601,-0.0019853119738399,0.001527163083665,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281931723300,0.88372314453125,-0.0047342055477201,-0.0001527163112768,0.0007635815418325,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281948545000,0.900544921875,0.0001527163112768,0.0,-0.0004581489483825,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281965378000,0.9173779296875,0.0041233403608202,0.0003054326225537,-0.0006108652451075,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281982178800,0.9341787109375,0.0062613687478005,0.001527163083665,-0.00137444678694,gyroscope,Still,Gyroscope_1.csv,Michael
1761305281999026400,0.9510263671875,0.0048869219608604,0.0001527163112768,-0.0010690141934901,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282015856400,0.9678564453125,0.0003054326225537,-0.0001527163112768,-0.0004581489483825,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282032674800,0.9846748046875,-0.0036651915870606,-0.0006108652451075,0.0007635815418325,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282049493800,1.00149365234375,-0.0065668015740811,-0.0010690141934901,0.0,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282066308600,1.01830859375,-0.0047342055477201,-0.0007635815418325,0.0004581489483825,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282083139000,1.03513916015625,-0.0021380283869802,0.0,0.0007635815418325,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282099972600,1.05197265625,0.001527163083665,-0.0003054326225537,-0.0012217304902151,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282116790800,1.068790771484375,0.0050396383740007,0.0,-0.0004581489483825,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282133614000,1.085614013671875,0.0045814891345798,0.0012217304902151,-0.0006108652451075,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282150437600,1.102437744140625,0.0024434609804302,0.0001527163112768,-0.0003054326225537,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282167257000,1.119257080078125,-0.0012217304902151,0.0010690141934901,-0.0006108652451075,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282184070100,1.136070068359375,-0.0048869219608604,0.0,0.0,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282200893000,1.152892822265625,-0.00534507073462,-0.0009162978967651,0.001527163083665,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282217716500,1.169716552734375,-0.0030543261673301,-0.0003054326225537,0.0009162978967651,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282234539500,1.18653955078125,0.0009162978967651,-0.0007635815418325,0.0001527163112768,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282251363000,1.203363037109375,0.0030543261673301,0.0001527163112768,-0.0009162978967651,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282268189200,1.220189208984375,0.0050396383740007,0.0001527163112768,-0.00137444678694,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282285016600,1.2370166015625,0.0038179077673703,0.0004581489483825,0.0003054326225537,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282301852000,1.253851806640625,0.0010690141934901,0.0001527163112768,0.0007635815418325,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282318669800,1.270669921875,-0.001527163083665,0.0003054326225537,0.0001527163112768,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282335476000,1.28747607421875,-0.0036651915870606,0.0,0.0003054326225537,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282352311800,1.304311767578125,-0.0029016099870204,-0.0006108652451075,0.0003054326225537,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282369126400,1.32112646484375,0.0001527163112768,0.0,-0.0004581489483825,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282385959000,1.337958984375,0.0027488935738801,0.0001527163112768,-0.0004581489483825,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282402771500,1.354771484375,0.0042760567739605,-0.0003054326225537,-0.0006108652451075,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282419586800,1.3715869140625,0.0030543261673301,0.0001527163112768,-0.0001527163112768,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282436415700,1.388415771484375,0.0010690141934901,0.0,-0.0004581489483825,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282453244000,1.405243896484375,-0.0012217304902151,0.0006108652451075,-0.0006108652451075,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282470045700,1.422045654296875,-0.0038179077673703,0.0001527163112768,0.0007635815418325,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282486891500,1.4388916015625,-0.0038179077673703,0.0001527163112768,0.0010690141934901,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282503708400,1.45570849609375,-0.0027488935738801,0.0001527163112768,0.0010690141934901,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282520543000,1.47254296875,0.0004581489483825,-0.0001527163112768,0.0006108652451075,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282537376300,1.489376220703125,0.0021380283869802,0.0003054326225537,-0.0007635815418325,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282554192000,1.50619189453125,0.0032070425804704,0.0001527163112768,0.0,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282571017500,1.523017578125,0.0025961773935705,0.0001527163112768,-0.0003054326225537,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282587841000,1.539841064453125,0.00167987938039,0.0001527163112768,0.0012217304902151,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282604664000,1.5566640625,-0.0003054326225537,0.0,-0.0003054326225537,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282621487400,1.5734873046875,-0.0025961773935705,-0.0010690141934901,0.0012217304902151,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282638293800,1.590293701171875,-0.0027488935738801,0.0003054326225537,0.0003054326225537,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282655131000,1.607130859375,-0.0019853119738399,0.0,-0.0001527163112768,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282671943200,1.623943115234375,0.0006108652451075,0.0,0.0003054326225537,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282688766700,1.6407666015625,0.0012217304902151,0.0001527163112768,0.0001527163112768,gyroscope,Still,Gyroscope_1.csv,Michael
1761305282705589500,1.657589599609375,0.0019853119738399,0.0007635815418325,0.0,gyroscope,Still,Gyroscope_1.csv,Michael
